BX = 000 Event : 1
3 0 0100110|101|0000 0x1350
3 1 0100111|001|0001 0x1391
3 2 0101000|100|0011 0x1443
3 3 0101001|110|0101 0x14E5
4 0 0101100|011|0001 0x1631
4 1 0101101|101|0011 0x16D3
4 2 0101110|010|0111 0x1727
5 0 0010011|011|0011 0x09B3
5 1 0010101|101|0110 0x0AD6
BX = 001 Event : 2
1 0 0110001|010|0100 0x18A4
1 1 0110011|000|0101 0x1985
2 0 0110100|000|0001 0x1A01
3 0 0100100|110|0100 0x1264
3 1 0100101|111|0100 0x12F4
4 0 0101010|110|0011 0x1563
4 1 0101011|011|0011 0x15B3
5 0 0010010|111|0101 0x0975
5 1 0101101|011|0000 0x16B0
6 0 0011001|010|0011 0x0CA3
7 0 0011101|001|0101 0x0E95
7 1 0011110|000|0111 0x0F07
7 2 0011111|010|0111 0x0FA7
7 3 0100000|101|0111 0x1057
7 4 0100001|001|0111 0x1097
BX = 010 Event : 3
1 0 0101000|110|0010 0x1462
2 0 0101100|000|0101 0x1605
3 0 0100000|110|0101 0x1065
4 0 0100010|100|0111 0x1147
5 0 0011000|100|0001 0x0C41
5 1 0011001|001|0010 0x0C92
BX = 011 Event : 4
0 0 0100100|001|0011 0x1213
0 1 0101010|101|0111 0x1557
1 0 0101110|000|0110 0x1706
2 0 0011101|000|0111 0x0E87
2 1 0110000|101|0001 0x1851
2 2 0110011|101|0011 0x19D3
2 3 0110100|110|0011 0x1A63
2 4 0110101|110|0100 0x1AE4
2 5 0110110|111|0101 0x1B75
3 0 0011110|110|0000 0x0F60
3 1 0011111|011|0110 0x0FB6
4 0 0100000|110|0011 0x1063
5 0 0001111|011|0101 0x07B5
6 0 0010010|111|0000 0x0970
6 1 0010100|111|0001 0x0A71
6 2 0010101|001|0001 0x0A91
BX = 100 Event : 5
1 0 0111001|010|0100 0x1CA4
1 1 0111010|000|0100 0x1D04
2 0 0101011|101|0111 0x15D7
2 1 0111011|100|0001 0x1DC1
3 0 0101100|011|0011 0x1633
3 1 0101101|000|0101 0x1685
5 0 0010011|000|0001 0x0981
5 1 0010100|011|0010 0x0A32
5 2 0011001|101|0110 0x0CD6
6 0 0011101|110|0001 0x0EE1
6 1 0100000|111|0001 0x1071
6 2 0100001|000|0010 0x1082
6 3 0100010|000|0010 0x1102
6 4 0100111|101|0101 0x13D5
7 0 0101010|110|0100 0x1564
BX = 101 Event : 6
2 0 0111101|111|0000 0x1EF0
2 1 1000100|011|0110 0x2236
3 0 0101100|000|0000 0x1600
3 1 0101110|011|0100 0x1734
3 2 0101111|101|0100 0x17D4
3 3 0110000|001|0100 0x1814
3 4 0110001|100|0100 0x18C4
3 5 0110010|100|0100 0x1944
3 6 0110011|000|0100 0x1984
4 0 0110101|001|0010 0x1A92
5 0 0100011|001|0111 0x1197
BX = 110 Event : 7
1 0 0011000|101|0110 0x0C56
3 0 0010000|100|0110 0x0846
3 1 0010001|010|0110 0x08A6
4 0 0010011|011|0010 0x09B2
7 0 0001110|100|0100 0x0744
7 1 0001111|010|0111 0x07A7
BX = 111 Event : 8
0 0 0101001|000|0011 0x1483
1 0 0101010|010|0010 0x1522
3 0 0100010|001|0101 0x1115
4 0 0100111|000|0110 0x1386
6 0 0011000|001|0001 0x0C11
BX = 000 Event : 9
0 0 0110111|101|0000 0x1BD0
0 1 0111000|010|0000 0x1C20
0 2 0111001|110|0000 0x1CE0
0 3 0111010|100|0000 0x1D40
2 0 1000101|110|0001 0x22E1
2 1 1000111|101|0010 0x23D2
2 2 1001000|011|0011 0x2433
