BX = 000 Event : 1
1 0 0110001|010|0010 0x18A2
1 1 0110010|001|0010 0x1912
1 2 0110011|001|0010 0x1992
1 3 0110100|001|0010 0x1A12
1 4 0110110|010|0100 0x1B24
2 0 0000000|100|0111 0x0047
3 0 0000001|100|0010 0x00C2
4 0 0001101|010|0111 0x06A7
4 1 0001110|010|0111 0x0727
5 0 0010000|100|0000 0x0840
6 0 0011111|111|0111 0x0FF7
7 0 0100010|100|0100 0x1144
7 1 0100100|011|0111 0x1237
7 2 0100101|101|0111 0x12D7
BX = 001 Event : 2
0 0 0110000|101|0011 0x1853
2 0 0111001|001|0100 0x1C94
3 0 0000000|001|0100 0x0014
3 1 0000001|011|0110 0x00B6
3 2 0000010|100|0110 0x0146
3 3 0000100|011|0111 0x0237
4 0 0001010|110|0011 0x0563
4 1 0001100|010|0100 0x0624
4 2 0001101|110|0101 0x06E5
6 0 0011000|001|0001 0x0C11
BX = 010 Event : 3
0 0 0100100|010|0000 0x1220
1 0 0101001|111|0110 0x14F6
2 0 0101011|110|0011 0x15E3
3 0 0001000|011|0100 0x0434
3 1 0001010|100|0110 0x0546
3 2 0001011|100|0110 0x05C6
3 3 0001101|000|0110 0x0686
4 0 0010100|111|0011 0x0A73
6 0 0011010|101|0000 0x0D50
7 0 0011101|010|0001 0x0EA1
BX = 011 Event : 4
0 0 0100001|011|0000 0x10B0
0 1 0100010|011|0000 0x1130
0 2 0100101|101|0011 0x12D3
0 3 0100111|110|0011 0x13E3
0 4 0101001|110|0101 0x14E5
1 0 0101101|010|0000 0x16A0
4 0 0001000|101|0101 0x0455
4 1 0001001|011|0101 0x04B5
5 0 0001011|010|0001 0x05A1
5 1 0001100|000|0010 0x0602
5 2 0001101|111|0010 0x06F2
6 0 0010111|011|0001 0x0BB1
BX = 100 Event : 5
0 0 0110101|001|0011 0x1A93
2 0 0111101|010|0011 0x1EA3
4 0 0001100|001|0000 0x0610
5 0 0011000|010|0100 0x0C24
5 1 0011010|101|0110 0x0D56
BX = 101 Event : 6
0 0 0110110|000|0101 0x1B05
2 0 0000010|101|0111 0x0157
2 1 1000010|111|0100 0x2174
2 2 1000101|111|0110 0x22F6
3 0 0000110|001|0000 0x0310
3 1 0001000|010|0010 0x0422
3 2 0001001|100|0010 0x04C2
3 3 0001011|111|0011 0x05F3
3 4 0001100|001|0011 0x0613
3 5 0001101|001|0011 0x0693
3 6 0001111|000|0101 0x0785
3 7 0011000|111|0110 0x0C76
3 8 0011001|111|0111 0x0CF7
3 9 0011011|111|0111 0x0DF7
4 0 0011100|011|0011 0x0E33
6 0 0101000|111|0001 0x1471
BX = 110 Event : 7
4 0 0000100|010|0001 0x0221
BX = 111 Event : 8
1 0 0101100|001|0100 0x1614
1 1 0110000|011|0110 0x1836
4 0 0001001|001|0101 0x0495
5 0 0010001|101|0011 0x08D3
5 1 0010010|110|0100 0x0964
5 2 0010101|101|0100 0x0AD4
BX = 000 Event : 9
0 0 0111011|100|0000 0x1DC0
1 0 0111111|011|0010 0x1FB2
2 0 1000110|111|0001 0x2371
2 1 1001001|000|0101 0x2485
2 2 1001010|011|0101 0x2535
3 0 0000010|011|0011 0x0133
4 0 0000110|101|0010 0x0352
4 1 0001001|111|0101 0x04F5
4 2 0001011|101|0110 0x05D6
5 0 0010000|011|0001 0x0831
5 1 0010001|111|0001 0x08F1
6 0 0100001|000|0011 0x1083
6 1 0100010|000|0011 0x1103
6 2 0101000|110|0111 0x1467
7 0 0101011|110|0111 0x15E7
BX = 001 Event : 10
2 0 0000001|101|0111 0x00D7
2 1 0101110|101|0100 0x1754
3 0 0000110|000|0110 0x0306
4 0 0001001|100|0011 0x04C3
4 1 0001011|101|0111 0x05D7
4 2 0001100|101|0111 0x0657
5 0 0001110|111|0011 0x0773
5 1 0010000|010|0101 0x0825
6 0 0010101|011|0011 0x0AB3
6 1 0010110|001|0101 0x0B15
BX = 010 Event : 11
1 0 0111111|001|0010 0x1F92
1 1 1000001|011|0100 0x20B4
3 0 0000010|110|0011 0x0163
3 1 0000100|011|0110 0x0236
3 2 0000101|011|0110 0x02B6
3 3 0000111|011|0111 0x03B7
3 4 0001000|011|0111 0x0437
4 0 0010011|010|0011 0x09A3
4 1 0010101|011|0100 0x0AB4
