BX = 000 Event : 1
1 0 0110101|010|0010 0x1AA2
1 1 0110110|010|0100 0x1B24
3 0 0001000|110|0110 0x0466
4 0 0001010|110|0010 0x0562
4 1 0001100|001|0110 0x0616
5 0 0010110|011|0110 0x0B36
7 0 0100000|100|0000 0x1040
7 1 0100100|011|0111 0x1237
BX = 001 Event : 2
0 0 0101110|101|0000 0x1750
0 1 0101111|000|0011 0x1783
3 0 0000000|001|0100 0x0014
3 1 0000010|100|0110 0x0146
3 2 0000100|011|0111 0x0237
4 0 0001010|110|0011 0x0563
4 1 0001011|110|0100 0x05E4
4 2 0001110|001|0111 0x0717
4 3 0001111|110|0111 0x07E7
6 0 0010110|011|0000 0x0B30
6 1 0010111|011|0001 0x0BB1
6 2 0011100|101|0111 0x0E57
BX = 010 Event : 3
3 0 0000110|011|0011 0x0333
3 1 0001000|011|0100 0x0434
3 2 0001001|101|0110 0x04D6
7 0 0011101|010|0001 0x0EA1
BX = 011 Event : 4
0 0 0100101|101|0011 0x12D3
4 0 0000110|111|0010 0x0372
5 0 0001110|110|0011 0x0763
5 1 0010000|010|0101 0x0825
5 2 0010001|011|0110 0x08B6
BX = 100 Event : 5
0 0 0110101|001|0011 0x1A93
3 0 0000011|111|0001 0x01F1
5 0 0011010|101|0110 0x0D56
6 0 0101001|111|0111 0x14F7
BX = 101 Event : 6
1 0 0111001|001|0010 0x1C92
2 0 0111111|001|0001 0x1F91
2 1 1000000|011|0001 0x2031
2 2 1000101|111|0110 0x22F6
3 0 0000101|010|0000 0x02A0
3 1 0010011|000|0110 0x0986
3 2 0010100|110|0110 0x0A66
3 3 0011000|111|0110 0x0C76
3 4 0011001|111|0111 0x0CF7
4 0 0011100|011|0011 0x0E33
7 0 0101001|001|0100 0x1494
7 1 0101010|101|0111 0x1557
BX = 110 Event : 7
4 0 0000100|010|0001 0x0221
BX = 111 Event : 8
1 0 0101100|001|0100 0x1614
2 0 0110010|011|0001 0x1931
4 0 0000110|010|0000 0x0320
4 1 0000111|001|0000 0x0390
4 2 0001001|001|0101 0x0495
5 0 0010000|000|0011 0x0803
5 1 0010001|101|0011 0x08D3
5 2 0010100|011|0100 0x0A34
5 3 0010101|101|0100 0x0AD4
7 0 0011111|110|0111 0x0FE7
BX = 000 Event : 9
0 0 0111011|100|0000 0x1DC0
0 1 0111110|101|0110 0x1F56
2 0 1000110|111|0001 0x2371
3 0 0000000|110|0000 0x0060
3 1 0000010|011|0011 0x0133
4 0 0000101|101|0001 0x02D1
4 1 0000111|011|0101 0x03B5
4 2 0001011|101|0110 0x05D6
6 0 0100001|000|0011 0x1083
6 1 0100010|000|0011 0x1103
6 2 0100011|001|0011 0x1193
BX = 001 Event : 10
4 0 0001011|101|0111 0x05D7
4 1 0001100|101|0111 0x0657
5 0 0001110|111|0011 0x0773
5 1 0010000|010|0101 0x0825
BX = 010 Event : 11
3 0 0000000|101|0001 0x0051
3 1 0000011|010|0011 0x01A3
3 2 0000100|011|0110 0x0236
3 3 0000111|011|0111 0x03B7
3 4 0001001|001|0111 0x0497
4 0 0001110|000|0000 0x0700
4 1 0001111|001|0000 0x0790
4 2 0010000|001|0000 0x0810
4 3 0010010|011|0001 0x0931
4 4 0011010|010|0111 0x0D27
5 0 0011011|001|0010 0x0D92
5 1 0011100|111|0100 0x0E74
5 2 0011101|100|0100 0x0EC4
BX = 011 Event : 12
0 0 0101110|110|0110 0x1766
4 0 0000111|101|0101 0x03D5
BX = 100 Event : 13
1 0 1000011|110|0000 0x21E0
1 1 1000100|101|0010 0x2252
2 0 0000000|111|0111 0x0077
3 0 0000010|110|0010 0x0162
3 1 0000011|000|0011 0x0183
3 2 0000101|110|0100 0x02E4
3 3 0001000|110|0100 0x0464
3 4 0001010|111|0100 0x0574
3 5 0001100|101|0101 0x0655
3 6 0001101|001|0101 0x0695
3 7 0001110|101|0101 0x0755
3 8 0010001|110|0110 0x08E6
3 9 0010101|101|0110 0x0AD6
5 0 0100101|111|0011 0x12F3
5 1 0100110|111|0011 0x1373
