BX = 000 Event : 1
0x00 0001000|000|01|1011010000 0x0406D0
0x01 0010000|101|01|1011101110 0x0856EE
0x02 0010010|001|01|1001110011 0x091673
0x03 0010011|001|01|1001110011 0x099673
0x04 0010100|001|10|0101110101 0x0A1975
0x05 0100010|101|01|1100101111 0x11572F
0x06 0101000|100|01|1110111011 0x1447BB
0x07 0101001|000|10|1110111011 0x148BBB
0x08 0101011|100|10|1100111101 0x15CB3D
0x09 0101101|000|01|1110111101 0x1687BD
0x0a 0111111|101|11|1000000010 0x1FDE02
0x0b 1000000|101|00|1100001011 0x20530B
0x0c 1000011|100|01|1000010010 0x21C612
0x0d 1000100|000|10|1010011100 0x220A9C
0x0e 1001001|100|11|1100100001 0x24CF21
BX = 001 Event : 2
0x00 0000111|100|10|1011010001 0x03CAD1
0x01 0001011|100|11|1011011111 0x05CEDF
0x02 0001111|101|11|1001101101 0x07DE6D
0x03 0100010|001|01|1010000010 0x111682
0x04 0100101|000|00|1010011011 0x12829B
0x05 0101101|100|11|1010011111 0x16CE9F
0x06 0110000|101|01|1000100011 0x185623
0x07 0110001|101|10|1010101011 0x18DAAB
0x08 0110010|101|00|1010101011 0x1952AB
0x09 0110011|001|10|1010101100 0x199AAC
0x0a 0110100|110|01|1000101101 0x1A662D
BX = 010 Event : 3
0x00 0010000|001|01|0011110110 0x0814F6
0x01 0010111|101|01|1100110001 0x0BD731
0x02 0011011|100|00|1100111100 0x0DC33C
0x03 0011100|101|10|1100111101 0x0E5B3D
0x04 0011111|100|01|1110111101 0x0FC7BD
0x05 0100111|000|00|1100000000 0x138300
0x06 0101001|100|00|1100001110 0x14C30E
BX = 011 Event : 4
0x00 0000010|000|11|1011001100 0x010ECC
0x01 0001000|000|00|1101011010 0x04035A
0x02 0010000|101|10|1101110000 0x085B70
0x03 0010001|101|01|1011110001 0x08D6F1
0x04 0010011|101|00|1011110010 0x09D2F2
0x05 0010111|001|00|0101110101 0x0B9175
0x06 0100001|000|10|1100101111 0x108B2F
0x07 0100010|101|01|1101000000 0x115740
0x08 0101110|100|11|0000000000 0x174C00
0x09 0110101|000|10|1010010000 0x1A8A90
0x0a 0110110|101|01|1010010001 0x1B5691
0x0b 1000000|001|00|1010100001 0x2012A1
0x0c 1000001|000|00|1010100001 0x2082A1
0x0d 1000010|000|01|1000100010 0x210622
BX = 100 Event : 5
0x00 0000000|001|01|1001001100 0x00164C
0x01 0001100|101|00|1011100001 0x0652E1
0x02 0001101|000|00|1101101011 0x06836B
0x03 0010110|101|11|1100101111 0x0B5F2F
0x04 0011100|001|01|1100110001 0x0E1731
0x05 0011101|101|00|1110111001 0x0ED3B9
0x06 0011110|100|00|1110111001 0x0F43B9
0x07 0011111|101|00|1110111001 0x0FD3B9
0x08 0100001|001|10|1100111100 0x109B3C
0x09 0101000|101|11|1100001100 0x145F0C
0x0a 0101011|101|10|1010011100 0x15DA9C
0x0b 0110011|101|01|1010101100 0x19D6AC
0x0c 0110101|001|01|1010101110 0x1A96AE
BX = 101 Event : 6
0x00 0000010|101|01|1101011010 0x01575A
0x01 0001011|101|00|1101101011 0x05D36B
0x02 0001111|100|11|1011110000 0x07CEF0
0x03 0010000|100|11|1011110001 0x084EF1
0x04 0010011|001|01|1100110000 0x099730
0x05 0010111|000|11|1100111100 0x0B8F3C
0x06 0011000|100|01|1100111100 0x0C473C
0x07 0011001|000|01|1110111101 0x0C87BD
0x08 0011110|000|10|1000000000 0x0F0A00
0x09 0100001|110|00|1010101110 0x10E2AE
BX = 110 Event : 7
0x00 0000010|001|01|1101011100 0x01175C
0x01 0100000|000|10|1111001001 0x100BC9
0x02 0100001|100|10|1111001001 0x10CBC9
0x03 0100110|100|01|1010011011 0x13469B
0x04 0100111|001|11|1000011101 0x139E1D
0x05 0101110|110|01|1010101011 0x1766AB
BX = 111 Event : 8
0x00 0000011|001|10|1011011011 0x019ADB
0x01 0000101|100|11|1101011101 0x02CF5D
0x02 0001000|000|00|1101101010 0x04036A
0x03 0001001|100|01|1101101110 0x04C76E
0x04 0010011|100|00|1110111110 0x09C3BE
0x05 0011011|110|01|1010100010 0x0DE6A2
BX = 000 Event : 9
0x00 0000010|000|01|1101001101 0x01074D
0x01 0000110|101|11|1101011010 0x035F5A
0x02 0000111|101|10|1001010011 0x03DA53
0x03 0001111|100|11|1011101110 0x07CEEE
0x04 0100011|100|11|1110111111 0x11CFBF
0x05 0110100|101|01|1000010011 0x1A5613
0x06 0110110|100|10|1100010001 0x1B4B11
BX = 001 Event : 10
0x00 0000001|001|10|1011101011 0x009AEB
0x01 0000101|101|01|0101110101 0x02D575
0x02 0010011|100|00|1010000000 0x09C280
