BX = 000 Event : 1
0x00 0000001|0100100 0x00A4
0x01 0000001|0100101 0x00A5
0x02 0000001|1001101 0x00CD
0x03 0000001|1001110 0x00CE
0x04 0000001|0000010 0x0082
0x05 0000001|0000011 0x0083
0x06 0000001|0101110 0x00AE
0x07 0001100|0111100 0x063C
0x08 0001100|0111101 0x063D
0x09 0010000|0111001 0x0839
BX = 001 Event : 2
0x00 0000101|0101100 0x02AC
BX = 010 Event : 3
0x00 0000001|0101010 0x00AA
0x01 0000001|0101100 0x00AC
BX = 011 Event : 4
0x00 0000000|1000100 0x0044
0x01 0000000|1000101 0x0045
0x02 0000000|1000110 0x0046
0x03 0000000|1001000 0x0048
0x04 0000000|1001010 0x004A
0x05 0000010|1000100 0x0144
0x06 0000010|1000101 0x0145
0x07 0000010|1000110 0x0146
0x08 0000010|1001000 0x0148
0x09 0000010|1001010 0x014A
0x0a 0000011|0111110 0x01BE
0x0b 0000011|1000100 0x01C4
0x0c 0000011|1000101 0x01C5
0x0d 0000011|1000110 0x01C6
0x0e 0000011|1001000 0x01C8
0x0f 0000011|1001010 0x01CA
0x10 0001001|0100110 0x04A6
0x11 0001011|0011100 0x059C
BX = 100 Event : 5
0x00 0000011|0000001 0x0181
0x01 0000011|0000011 0x0183
0x02 0000011|0000100 0x0184
0x03 0000011|0000110 0x0186
0x04 0000011|0000111 0x0187
0x05 0000100|0000001 0x0201
0x06 0000100|0000011 0x0203
0x07 0000100|0000100 0x0204
0x08 0000100|0000110 0x0206
0x09 0000100|0000111 0x0207
0x0a 0000101|0000001 0x0281
0x0b 0000101|0000011 0x0283
0x0c 0000101|0000100 0x0284
0x0d 0000101|0000110 0x0286
0x0e 0000101|0000111 0x0287
0x0f 0001000|0000011 0x0403
0x10 0001000|0000111 0x0407
0x11 0001001|0000011 0x0483
0x12 0001001|0000111 0x0487
0x13 0001100|0001110 0x060E
0x14 0001100|0001111 0x060F
0x15 0001110|0001110 0x070E
0x16 0001110|0001111 0x070F
0x17 0010000|0001110 0x080E
0x18 0010000|0001111 0x080F
0x19 0010001|0001110 0x088E
0x1a 0010001|0001111 0x088F
0x1b 0010010|0001110 0x090E
0x1c 0010010|0001111 0x090F
BX = 101 Event : 6
0x00 0000000|0100010 0x0022
0x01 0000001|0100010 0x00A2
BX = 110 Event : 7
0x00 0000010|0011001 0x0119
0x01 0000010|0011101 0x011D
0x02 0000010|0011110 0x011E
0x03 0000101|0011001 0x0299
0x04 0000101|0011101 0x029D
0x05 0000101|0011110 0x029E
BX = 111 Event : 8
0x00 0000101|0001101 0x028D
0x01 0000101|0010000 0x0290
0x02 0000110|0010000 0x0310
0x03 0000110|0011010 0x031A
0x04 0000111|0010000 0x0390
0x05 0000111|0011010 0x039A
0x06 0001000|0010000 0x0410
0x07 0001000|0011010 0x041A
BX = 000 Event : 9
0x00 0000011|0111100 0x01BC
0x01 0000011|0000001 0x0181
0x02 0000011|0011110 0x019E
0x03 0000011|0100000 0x01A0
0x04 0000011|0100111 0x01A7
0x05 0000011|0101000 0x01A8
0x06 0000101|0111001 0x02B9
0x07 0000101|0111010 0x02BA
0x08 0000101|0111100 0x02BC
0x09 0010000|0111000 0x0838
0x0a 0010000|0111001 0x0839
0x0b 0010000|0111011 0x083B
0x0c 0010000|0111101 0x083D
0x0d 0010101|0111001 0x0AB9
0x0e 0010101|0111010 0x0ABA
0x0f 0010101|0111100 0x0ABC
0x10 0011001|0000001 0x0C81
0x11 0011001|0000100 0x0C84
0x12 0011001|0100111 0x0CA7
0x13 0011001|0101000 0x0CA8
0x14 0011100|0101001 0x0E29
0x15 0011101|0101001 0x0EA9
0x16 0011110|0101001 0x0F29
0x17 0100110|0110011 0x1333
BX = 001 Event : 10
0x00 0000111|0001111 0x038F
0x01 0001000|0001111 0x040F
0x02 0001100|0001111 0x060F
0x03 0010000|0001111 0x080F
0x04 0010100|0000110 0x0A06
