BX = 000 Event : 1
0x00 0000001|011|1|1000|01111|0 0x005E1E
0x01 0001100|000|1|1001|01011|1 0x030657
0x02 0010000|000|1|0110|11010|1 0x0405B5
BX = 001 Event : 2
0x00 0000101|010|1|0110|00101|0 0x01558A
0x01 0001001|001|1|0110|01101|1 0x024D9B
0x02 0001010|001|1|0110|01101|1 0x028D9B
BX = 010 Event : 3
0x00 0000000|010|1|0110|11000|0 0x0015B0
0x01 0000001|001|1|1011|10011|0 0x004EE6
0x02 0000101|101|1|1000|10100|1 0x016E29
BX = 011 Event : 4
0x00 0000000|010|1|1011|11010|0 0x0016F4
0x01 0000010|011|1|0100|11010|0 0x009D34
0x02 0000011|010|1|1010|11010|0 0x00D6B4
0x03 0001001|000|0|0010|10101|1 0x0240AB
0x04 0001011|111|0|0111|10110|1 0x02F9ED
BX = 100 Event : 5
0x00 0000011|100|1|0111|10111|0 0x00E5EE
0x01 0000100|100|1|0111|10111|0 0x0125EE
0x02 0000101|100|1|1001|10111|0 0x01666E
0x03 0001000|100|1|0110|00110|0 0x02258C
0x04 0001001|100|1|0110|00111|0 0x02658E
0x05 0001100|101|1|1000|01000|1 0x032E11
0x06 0001110|101|1|1000|01000|1 0x03AE11
0x07 0010000|101|1|1000|01000|1 0x042E11
0x08 0010001|101|1|1000|01100|1 0x046E19
0x09 0010010|101|1|1000|01000|1 0x04AE11
BX = 101 Event : 6
0x00 0000000|011|1|0101|11000|0 0x001D70
0x01 0000001|011|1|0101|11000|0 0x005D70
0x02 0000111|000|1|0110|10101|1 0x01C5AB
0x03 0001000|000|1|0110|10110|1 0x0205AD
BX = 110 Event : 7
0x00 0000010|010|1|1011|01010|0 0x0096D4
0x01 0000101|010|1|1010|01010|0 0x015694
BX = 111 Event : 8
0x00 0000101|011|1|1001|01011|0 0x015E56
0x01 0000110|011|1|0100|10101|0 0x019D2A
0x02 0000111|011|1|0100|10101|0 0x01DD2A
0x03 0001000|011|1|0100|10100|0 0x021D28
0x04 0001011|001|1|0110|11000|1 0x02CDB1
0x05 0001100|001|1|1000|10111|1 0x030E2F
BX = 000 Event : 9
0x00 0000011|011|1|0111|11001|0 0x00DDF2
0x01 0000101|010|1|1001|10111|0 0x01566E
0x02 0010000|010|1|0111|00111|0 0x0415CE
0x03 0010101|010|1|1000|10111|0 0x05562E
0x04 0011001|100|1|0111|01000|0 0x0665D0
0x05 0011100|000|0|0000|01001|1 0x070013
0x06 0011101|000|0|0000|00101|1 0x07400B
0x07 0011110|000|0|0000|01100|1 0x078019
0x08 0100110|001|1|1000|10101|1 0x098E2B
BX = 001 Event : 10
0x00 0000101|100|1|0100|01110|0 0x01651C
0x01 0000110|100|1|0100|01110|0 0x01A51C
0x02 0000111|011|1|1001|01110|0 0x01DE5C
0x03 0001000|011|1|1001|01110|0 0x021E5C
0x04 0001010|100|1|0101|01110|0 0x02A55C
0x05 0001011|100|1|0101|01110|0 0x02E55C
0x06 0001100|011|1|1010|01111|0 0x031E9E
0x07 0010000|011|1|1010|01111|0 0x041E9E
0x08 0010100|110|1|0111|01011|1 0x0535D7
